entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
		0.4	russian coal mines seek new outlets in china	russian foreign minister to meet un chief
		4.2	11:42 churchill's last child dies aged 91	churchill's youngest child lady soames dies aged 91
		1.6	iran's president condemns use of chemical weapons in syria	probe alleged use of chemical weapons in syria
		2.8	mickey arthur fired as australia coach	darren lehmann replaces mickey arthur as australia's ashes coach
		3	42 killed, 63 wounded in violence in iraq	44 killed, 133 wounded in iraq's violence
		4.6	abbas accepts resignation of palestinian pm	abbas accepts resignation of rami hamdallah
		1.6	al-qaida suspects bomb oil export pipeline in yemen	al-qaida gunmen take over military base in yemen
		4.2	rogers hires vodafone uk chief guy laurence as ceo	rogers names vodafone uk chief as new ceo
		2.2	at least 20 dead in somalia attacks	at least 60 die in iraq prison attack
		0.8	muslims prepare for start of ramadan	muslims pray for end to divisions
		3.2	bangladesh factory owners arrested as death toll nears 350	bangladesh factory owners arrested
		2	maldives vice president resigns as polls get mired	maldives presidential candidate refuses to take part in key run-off
		4.8	israeli government authorises new settlements ahead of talks	israel approves new settlement homes ahead of peace talks
		0.4	at least two killed in southern egypt clash	at least 18 killed in north caucasus train station blast
		3	11 killed in chinese police station attack	9 shot dead in xinjiang police station attack
		1.8	un invites iran to syria peace talks	france and us shun iran on syria peace talks
		4.2	2 turkish pilots abducted in lebanon	2 turkish airline pilots kidnapped by gunmen in lebanon
		3.6	california wildfire forces evacuation of homes	california wildfires strengthened by winds as hundreds are evacuated
		2.2	russia warns of catastrophe if syria reactor hit by u.s. strike	"russia warns of ""catastrophe"" if n korea restarts reactor"
		3.6	us drone strike kills 11 in pakistan	us drone kills 18 in nw pakistan
		3.6	putin signs crimea annexe treaty	09:32 putin signs off crimea annexation
		3.4	india govt rejects proposal to shut petrol pumps at night	india oil minister slammed for plan to shut petrol stations at night
		3.8	indian rape accused face verdicts	indian rape accused found guilty
		4	hamas agrees to 24-hour truce in gaza	hamas agrees to 24-hour holiday truce in gaza war after israel resumes fighting
		2.8	philippine quake death toll climbs to 73	death toll in philippines quake jumps to 85
		0.4	at least six dead in us shooting rampage	at least 20 dead in somalia attacks
		5	us believes syrian government used chemical weapons	us suspects syria used chemical weapons
		4	nadal, djokovic to meet in french open semifinals	djokovic, nadal to vie for french open semi berth
		0	sevens world cup within kenya‚Äôs reach	clash of styles in court opens trial in young man‚Äôs death
		0.6	manchester united ticket sales and profit down	manchester united owner malcolm glazer dies at 85
		1.2	police say one suspect in boston marathon bombing dead, one at large	cop killed near boston, link to bombing unclear
		0.8	red cross workers released in ukraine	red cross members kidnapped in syria
		5	venezuela expels three u.s. diplomats	venezuela expels 3 u.s. diplomats
		4.6	westgate mall attackers spent four months planning in nairobi	westgate attackers spent four months planning in nairobi, says official
		4.2	five jailed over costa concordia shipwreck disaster	five staff jailed over costa concordia shipwreck
		2.2	syrian opposition sets assad's departure precondition for geneva talks	syria opposition agrees to geneva peace talks
		0.6	two nato soldiers killed in afghanistan	five libyan soldiers killed in benghazi clashes
		2	the note's must-reads for friday may 24, 2013	the note's must-reads for tuesday october 29, 2013
		2.8	occupied palestinian territory: stop shooting at gaza civilians	occupied palestinian territory: protection of civilians weekly report
		4.2	palestinian diplomat dies in prague blast	palestinian envoy killed in prague blast
		3	u.s. to release info about syria‚Äôs chemical weapons use	us believes syria used chemical weapons but says facts needed
		4.6	uk's cameron seriously concerned by gibraltar/spain row	cameron 'seriously concerned' over gibraltar events
		1.8	nato soldier killed in taliban attack	five soldiers killed in yemen attack
		4	china launches probe and rover to moon	china launches first moon rover mission
		4	mh17 black boxes arrive in britain for analysis	mh17 crash: black boxes arrive in the uk from ukraine for analysis
		2.6	three killed, 21 injured in two road mishaps	3 killed, 24 injured in nw china coach blast
		3.6	indian army kill 3 militants in indian-controlled kashmir	indian troops kill militant commander in indian-controlled kashmir
		4.2	four killed in oil industry helicopter crash off scotland	four dead in north sea oil industry helicopter crash
		2.8	international weapons experts leave syria, obama to make statement	weapons experts leave syria, u.s. prepares attack
		0.4	kerry call on congress to end shutdown	brazil's congress approves internet legislation
		5	outrage after reports emerge about 6-year-old indian girl raped at school	outrage after indian girl, 6, raped at her school
		1.6	chinese shares close higher tuesday	chinese stocks close lower thursday
		1.6	us awaits high court judgment on gay marriage	ark. high court again suspends gay marriage
		4.4	world's oldest person, and oldest man ever, dies at 116	japan: world's oldest man ever dies aged 116
		0.8	all gunmen in attack on afghan presidential palace killed	algeria: belaid says he will continue presidential campaign
		2.8	australia to lead southern search for mh370	australia pm abbott warns of lengthy search for mh370
		5	liquid ammonia leak kills 15 in shanghai	ammonia leak kills 15 in shanghai
		2.4	beijing's aircraft carrier returns from south china sea	china sends carrier to south china sea
		2.8	egypt announces end to state of emergency	egypt declares month-long state of emergency
		1.8	ships train for syrian chemical weapons transport	un adopts syrian chemical weapons resolution
		0.8	japan scrambles jets against russian military planes	separatists down ukraine military plane, several dead
		3.4	deaths confirmed after helicopter crashes into scottish pub	police helicopter crashes into scottish pub
		3.8	new major earthquake rocks southwest pakistan	moderate earthquake hits southern pakistan
		2.8	5 things you need to know tuesday	5 things you need to know on friday
		0.8	blackberry open to sale	blackberry loses $965m in 2nd quarter
		4.2	scores dead in fresh egypt clashes	at least 64 killed across country in egypt clashes
		4.2	global chemical watchdog wins nobel peace prize	chemical weapons watchdog wins nobel peace prize
		4.2	stocks close higher as service sector improves	stocks edge higher as us service sector improves
		4.6	teen survives flight across pacific in plane wheel well	teen survives five-hour flight to hawaii 'in airplane wheel well'
		5	israel's ex-pm ariel sharon dies	former israeli prime minister sharon dies
		1.2	scores killed in egyptian protests	turkey's pm warns against protests
		3.4	flight of boston marathon bombing suspects ended in mayhem	raid on boston marathon bombing suspect captured on film
		5	protests continue in tense ukraine capital	protests continue in ukraine's capital
		4.4	court to hear bo xilai appeal	chinese court agrees to bo xilai appeal
		2.4	mel smith dead at 60 and uk mourns a comedy favourite	griff rhys jones: mel smith was 'a force for life'
		4.2	southwest grounds flights due to computer glitch	southwest flights delayed, canceled after computer glitch
		3.2	chinese envoy rebuts vietnamese, philippine accusations over south china sea	china's xi tells vietnam wants peace in south china sea
		5	rio airport workers strike on eve of fifa world cup	rio de janeiro airport workers strike on eve of world cup
		3.4	us delays missile test as tensions rise	william hague: us decision to halt missile test 'sensible'
		1.4	russia claims to have foiled possible terror act	russia says ballistic 'objects' fired in mediterranean
		5	iran nuclear talks enter third day	iran nuclear talks enter crucial third day
		3.2	china reports 5 new h7n9 cases, 33 total	e china reports 4 new h7n9 cases
		3	bangladesh building collapse death toll passes 600: army	bangladesh building collapse death toll tops 1,000
		0.6	n. korea test-fires 30 short-range missiles into sea: yonhap	iran says it test-fires new land-to-sea missile in gulf
		2	new australian pm tony abbott on his bike awaiting final vote count	australian pm-elect tony abbott gets to grips with his new job
		4.2	mers respiratory illness found in u.s., officials confirm	first case of mers, a sars-like respiratory illness, reported in north america
		4.2	bombing aimed at hezbollah hits southern beirut	explosion hits hezbollah area south of beirut
		1	protests for kidnapped girls banned in nigerian capital	scores 'killed' in boko haram raid in nigeria
		4.4	gunmen kill nine foreign tourists, guide in pakistan	gunmen kill 9 foreign tourists, 1 pakistani
		2.4	4 killed, 6 injured in attacks in iraq	43 killed, 86 wounded in attacks in iraq
		4.2	strong winter storm hits u.s. northeast	winter weather blasts u.s. northeast
		1	queen pays tribute to nelson mandela	south africa's rugby fraternity mourns mandela
		1.8	microsoft earnings hurt by nokia acquisition	microsoft sees end to nokia losses, shares rise after hours
		2.2	eu condemns terrorist attacks in china	pakistan condemns terrorist attack in china
		5	blackberry loses us$965m in q2	blackberry loses $965m in 2nd quarter
		3.8	putin, merkel meet on ukraine crisis	foreign ministers to meet over ukraine crisis
		1.4	extension likely for iran nuclear talks	oil slips below $108 ahead of iran nuclear talks
		5	washington pot shops prepare for historic sales	washington pot shops prepare for historic sales
		0.8	north korea: experts call for dialogue ‚Äď and say china must play a part	north korea cuts last ties with south by barring joint industrial park
		1.8	venezuelan president to visit china	senegalese president to visit china
		2	vietnam detects signals from missing plane	china expands search area for missing plane
		1.6	protesters swamp streets to reclaim revolution	egypt: protesters storm muslim brotherhood's hq
		2	explosion in a muslim brotherhood leader's farm in egypt kills 4	egyptian court sentences muslim brotherhood leader to life in prison
		3.4	somalia gang rape victim speaks out	somalia gang rape victim accuses au force
		2.4	pakistan's musharraf under arrest in bhutto assassination	pakistan's musharraf arrives at court for first time
		1.2	colourful support at world cup in brazil	merkel to attend world cup final
		5	brazil leader breaks silence about protests	brazil leader breaks silence about protests
		3	us drone strike 'kills 4 militants in pakistan'	suspected us drone kills 2 militants in pakistan
		2	deputy speaker faces new sex claims	deputy speaker nigel evans re-arrested
		1.4	bomb blast rocks shopping mall in nigeria, 12 killed	bomb blasts before indian opposition rally kill 4
		1.2	china to investigate eu wine exports	christie investigation heats up
		3.2	hassoun to mauritanian delegation: conspiracy imposed on syria targets its stances, particularly over palestine	mufti : conspiracy aginst syria targets its stances, particularly towards palestine
		0	cameron 'has no concerns' over halal meat	veterans health probe confirms cover-up of care delays
		4.8	nelson mandela remains in critical condition	sa president: mandela 'remains in a critical condition'
		2.4	iran‚Äôs rouhani admits chemical weapons killed people in syria	probe alleged use of chemical weapons in syria
		3.4	defence in south korea ferry trial warns of scapegoating	defence in ferry trial warns of scapegoating
		4.4	north, south korea agree to first reunions	north, south korea agree to talks
		4.4	south korea ferry crew members stand trial	sewol ferry crew faces trial
		3	sienna miller testifies at uk phone hacking trial	sienna miller attacks press for ‚Äėtitillating‚Äô reports at hacking trial
		3.2	china hsbc manufacturing pmi hits seven-month low in february	manufacturing hits seven-month low in china
		2	flight of boston marathon bombing suspects ended in mayhem	images of boston marathon bomb suspects released
		4	australia rejects qantas' request for $2.7 bn loan	australia rejects qantas loan request
		2.6	georgians vote for new president	ally of georgia's billionaire pm to be president -exit polls
		2.8	arsenal stars poised to wear t-shirts in support pat rice's fight against cancer	arsenal great rice in hospital with cancer
		4.16666666666667	n korea postpones family reunions	north korea postpones war-torn family unions
		5	3 killed, 6 injured in afghan blasts	three killed, six injured in afghan blasts
		4	police helicopter crashes into pub in glasgow - several casualties	helicopter crashes into roof of glasgow club
		0.4	dprk leader calls for better ties with s.korea	north korea urges foreigners to leave south korea
		2	chinese icebreaker changes course towards suspicious objects	chinese search plane finds 'suspicious objects'
		3	volcano erupts in indonesia -100,000 evacuated and airports closed	volcanic eruption closes 3 airports
		4.2	tehelka editor embroiled in sex assault scam	tehelka editor steps down after allegations of sexual misconduct
		4.4	iranian nuclear talks to be extended to november	iran nuclear talks extended to november 24
		2.4	police fire tear gas at pro-morsy protesters	turkish police fire teargas at protesters in istanbul
		3.4	boeing 777 crashes while landing at san francisco airport; 2 dead; scores injured	boeing 777 crashes while landing at san francisco airport
		5	updated - two explosions near finish line of boston marathon	report of two explosions at finish line of boston marathon
		4.2	easy rider star karen black dies aged 74	easy rider actress karen black dies of cancer
		4.2	israeli general says syria government forces used chemical weapons	israel accuses syria of using chemical weapons
		2.2	oscar pistorius trial: adjourns until tuesday	oscar pistorius' psychiatric evaluation to start monday
		0.2	egypt court sentences 10 brotherhood supporters to death - sources	turkish pm tells supporters to prepare for rallies
		3.4	israeli forces detain 18, injure bethlehem teen	israeli forces shoot, injure bethlehem teenager
		0.4	russia praises idea to render rights assistance to ukraine	russia detains suspected islamist militants in moscow raid
		3.8	chemical weapons team kidnapped in syria, reports claim	chemical-weapons team attacked in syria; all members safe
		1.6	pakistani taliban chief killed in us drone strike	funeral for pakistan taliban chief 'set to take place'
		4.2	nigerian gunmen kill groom, 30 others in wedding convoy	nigeria official: gunmen kill 30 in wedding convoy
		4	asiana jet crash lands at san francisco airport	boeing 777 plane crash-lands at san francisco airport
		4	u.s. senate drafts resolution for military strike against syria	us senate panel approves use of force against syria
		3.2	suicide bomber kills 15 in northern iraq	suicide car bomb kills 12 in northern iraq
		0.2	ukrainian president orders 7-day ceasefire in the east	uganda's president museveni agrees to sign anti-gays bill
		5	nelson mandela dies aged 95	nelson mandela dies at age 95
		0.6	glasgow helicopter death toll rises to nine	earthquake death toll rises to 260
		4.4	neymar powers brazil into last 16	neymar powers brazil into world cup last 16
		3	singapore stocks end up 0.37 pct	singapore stocks close 0.41 pct higher
		4.8	five charged with terrorism offences	five people charged with terror offences
		0	poll: cory booker takes early lead for n.j. senate	nigella lawson 'took cocaine every day for a decade'
		4	us seeks to reassure wary gulf allies over iran deal	hagel seeks to reassure jittery gulf allies after iran deal
		1	factories that ran on korean cooperation go silent	north and south korea break their silence with talks
		4.6	george w. bush undergoes heart procedure	president george w. bush has stent procedure
		0	thai government says elections feb. 2	philippines government says peace talks with communists have failed
		2.8	turkish leaders call for int'l intervention in egypt	turkish fm slams military intervention in egypt
		3.4	uk vote rejects military action	britain rejects syria military action
		4.8	israel carrying out ground offensive in gaza	israel launches ground offensive in gaza
		3.8	new coronavirus can probably can be passed person to person- who	who: new virus can probably pass person to person
		5	ronaldo's hat trick sends portugal to world cup	ronaldo hat-trick fires portugal to world cup
		0.4	yolanda death toll climbs to 3,621	kenya red cross says death toll rises to 68
		0.6	17:02 23 killed in iraq car bombings	11 children killed in syria bombings
		3.4	rights lawyers harassed as china hails rule of law	china rights lawyers harassed by about 200 thugs
		4	gunmen surround libya's foreign ministry to push demands	libya's foreign ministry cut off by armed men, official says
		4.2	israel to free palestinian prisoners over kerry talks	israel agrees to free 104 palestinian prisoners as part of possible deal to restart peace talks
		2.8	israel agrees to 24-hour gaza truce	israel agrees to extend gaza truce by four hours
		2	ukraine: nine people die in kyiv clashes	ukraine pressured over kiev clashes
		4.8	syrian mortars land in golan, israel retaliates	syrian mortars land in israeli-occupied golan heights, israel retaliates
		3.2	elbaradei to become egyptian pm	liberal elbaradei named egypt pm, islamists cry foul
		3.6	fire kills 38 in russian psychiatric institution	38 feared dead in russian psychiatric hospital fire
		4.6	syrian army retakes crusader castle from rebels	syrian army retakes historic crusader castle
		1.4	ukraine‚Äôs pro-russia protesters demand greater autonomy	sudanese protesters demand the regime's ouster
		0.4	russian lawmakers pass new bill restricting internet	russia says ballistic 'objects' fired in mediterranean
		3.8	hong kong set for huge democracy rally on handover anniversary	hong kong set for huge democracy rally
		5	mandela in ‚Äėserious but stable‚Äô condition	mandela in ‚Äėcritical but stable‚Äô condition
		2.8	tokyo stocks open down 0.24%	tokyo stocks open up 0.52%
		3.8	tropical storm karen targets us gulf coast	tropical storm karen poised to make landfall
		3	china's q2 gdp growth slows to 7.5 pct	china growth slows to 75 in apriljune govt
		2.4	five people charged with terror offences	british police charge two men with terror offences
		2.8	what the papers say, nov. 20, 2013	what the papers say, oct. 10, 2013
		1.6	a look at major terror attacks in east africa	un security council slams deadly terrorist attack in kenyan capital
		2.6	egypt's brotherhood loses grip as anger boils	egypt's brotherhood calls for 'day of anger'
		1.2	boston bombing suspect to appear in court	boston bombing suspect buried
		2	israel responds coolly to outcome of iranian presidential election	inside iran's presidential election and beyond
		2.4	quotes from leaders, family at mandela memorial	world unites for mandela memorial
		1.6	radio: israel set to increase palestinian prisoner release	us: israel to delay palestinian prisoner release
		2	quotes from leaders, family at mandela memorial	obama shakes hands with cuba's castro at mandela memorial
		3	iranian, afghan ministers confer	british, iranian foreign ministers to meet at un
		2.6	egyptian security forces kill 30 protesters: brotherhood	egyptian security forces arrest brotherhood leaders' son
		3	sisi sworn in as egypt's president, cool reception from west	el-sissi inaugurated as egypt's president
		3.8	prince george christening, meet the godparents	prince george christened in london
		1.2	actor mickey rooney dies aged 93	ariel sharon dies aged 85
		5	snowden sees 'no chance' for us fair trial	"snowden sees ""no chance"" to get fair trial in u.s."
		4.8	south africa's mandela taken to hospital	nelson mandela taken to hospital
		1.8	modi condoles the people who died in mumbai stampede	indian media reports: 18 killed in mumbai stampede
		3.8	woman arrested in connection with damage of sculpture at changi airport	woman arrested for intrusion into kinetic rain sculpture at changi airport t1
		1	death toll from west chinas violence rises to 35	10 killed as insurgent violence returns to pakistan
		3	pranab to lead team at mandela‚Äôs memorial service	jonathan to attend mandela‚Äôs memorial service
		2.6	us home sales plunged 5.1 percent in january	us existing-home sales dip in february
		1.8	ankara protesters clash with police	peru protesters clash with police
		2	israel finds bodies of three missing teens in west bank	israeli forces detain 5 palestinians in west bank
		0	nato condemns ukraine crackdown	thai bonds best in region
		3.6	sailors dead in india submarine blast	all sailors on board indian submarine 'feared dead'
		4.2	early vote count in iran gives reformer wide lead	iran vote count gives rowhani wide lead
		2.2	gunmen 'kill 10 tourists' in kashmir	gunmen kill four in kenya church attack
		3.2	chinese shares close lower monday	chinese shares close lower on wednesday
		3	four arrested as bangladesh building toll rises to 352	owner arrested as bangladesh building toll reaches 372
		3.8	us drone strike 'kills 4 militants in pakistan'	us drone strike kills 10 in pakistan
		4.8	gunmen abduct iran embassy employee in yemen	gunmen abduct iranian embassy worker in yemen
		3.8	israel frees second group of palestinian prisoners	israel releases 26 palestinian prisoners
		2	us, russia to push for new syria peace talks	russia doubts mid-november date for syria peace talks
		4.2	diana nyad making progress on cuba to florida swim	diana nyad completes historic cuba-florida swim
		4.4	bradley manning acquitted of aiding the enemy	wikileaks soldier bradley manning acquitted of aiding the enemy
		0.4	james gandolfini dies aged 51	nelson mandela dies aged 95
		0	blast on indian train kills one	state: no funds for yeshiva that incites violence
		4.6	is fed ready to begin taper? markets say yes	is fed ready to begin the great taper? markets say yes
		2.2	china stock index futures close lower -- april 23	china stock index futures close higher -- dec. 4
		1.2	iran condemns alleged israeli airstrike on syria	democrats face divide over a strike on syria
		3.6	boeing 777 plane crash-lands at san francisco airport	plane crash lands at san francisco airport
		5	egypt launches offensive against sinai militants	egypt launches offensive against sinai insurgents
		3.2	thai opposition party to boycott general election	thailand's opposition democrat party announces boycott of february general election
		0	gm slow on recalls, congress record shows	mobile world congress future smartphone
		0.2	hassan rouhani wins iran's presidential election	maduro wins venezuelan presidential vote
		1.4	obama condemns killing of 3 israeli teens	bodies of missing israeli teens found in west bank
		4.6	judge oks force-feeding california inmates	u.s. judge approves force-feeding californian inmates on hunger strik
		3.2	tornadoes level homes in oklahoma, 1 dead	tornadoes hit kan., okla.; no injuries reported
		4	israel agrees to release palestinian prisoners	israel to free 104 palestinians in peace talks: pm
		3.8	pro football player aaron hernandez charged with murder in friend's shooting death	american football player aaron hernandez charged with murder
		4.4	india braces itself as 'super cyclone' heads for east coast	"india on red alert as ""super cyclone"" nears east coast"
		0	egypt's opposition criticizes president's speech	pakistan's opposition party boycotts presidential elections
		2	china yuan weakens to 6.1651 against usd tuesday	china yuan strengthens to 6.1696 against usd thursday
		0.6	gunmen kill 10 in philippine political violence	five killed in philippines volcano eruption
		4.6	"scientists grow ""mini human brains"" from stem cells"	scientists grow mini 'human brain' in the lab
		0.4	china's troubled xinjiang hit by more violence	china's online population rises to 618 mln
		1	iran's nuclear negotiating team leaves for kazakhstan	iran's nuclear quest 'has cost tehran over $100 billion'
		5	gunmen surround libya's foreign ministry to push demands	gunmen surround libyan foreign ministry to push demands
		4.4	nicaragua, venezuela offer asylum to snowden	"venezuela offers ""humanitarian asylum"" to snowden"
		3	headlines in major iranian newspapers on april 5	headlines in major iranian newspapers on august 18
		1.2	car bomb kills 20 in northwest syria	car bomb kills 40 in northwest pakistan
		3.8	china demands answers from us over spying claims	china demands explanation from us on huawei spying report
		1	assad warns turkey of 'heavy price' for backing syrian rebels	cabinet at war over arming syrian rebels
		1.2	ukraine protest leaders name ministers, russian troops on alert	ukraine refuses to act against russian 'provocation'
		3.2	venezuelan opposition leader sought	venezuela government, opposition head for showdown
		1.2	syrian civil war in photos	syrian civil war peace talks at risk from iran invitation
		4.6	renowned spanish flamenco guitarist paco de lucia dies	spanish flamenco guitarist paco de lucia dies at 66
		3.4	bangladesh opposition set for mass march against polls	bangladesh opposition set for mass rally
		0	argentina declares mourning for flood victims	parents demands common forms for nursery admissions
		2.8	us drone strike kills six in pakistan officials	u.s. drone kills 4 militants in pakistan
		1.6	egypt: muslim brotherhood calls for 'uprising'	egyptian amb: muslim brotherhood should 'join the process'
		3.4	sc's ex-gov. sanford wins runoff, will face colbert busch	sc's ex-gov. sanford clears hurdle in comeback bid
		4.4	olivia colman wins second bafta award	baftas 2013: olivia colman picks up two awards
		4.8	thousands evacuated in moscow metro fire	thousands evacuated after fire breaks out in moscow metro
		0.2	french raid wine cellar for austerity auction	us praises ukraine deal; calls for concrete action
		0.2	polling stations open at ukrainian presidential election	nominations open for e.tv ghana most influential awards
		3	us diplomat killed in afghanistan wanted to help	us diplomat killed in afghanistan worked with john kerry
		3.2	egypt arrests muslim brotherhood's top leader	egypt arrests muslim brotherhood supporters under terror law
		5	investigators probe motives of lax airport shooter	investigators probe motives of los angeles airport shooter
		4.6	bangladesh islamists rally against atheist bloggers	bangladeshi islamists rally to demand action against atheist bloggers
		3	former pakistan president pervez musharraf arrested again	former pakistan military ruler pervez musharraf granted bail
		4	china launches longest-ever manned space mission	china successfully launches manned spacecraft
		2	ukraine signs eu trade pact as russia finalizes crimea annexation	"ukraine's top court dismisses crimea's independence as ""unconstitutional"""
		0.4	france to ban child beauty pageants	facebook to test mobile payments service
		3.8	bernanke comments keep markets on steady rise	bernanke stimulus boost to markets
		3.6	north korea says to restart nuclear reactor	north korea offers talks: complex may re-open
		3.6	explosions kill 29 outside two mosques in lebanon's tripoli	blasts kill 27 outside two mosques in lebanon's tripoli
		0.4	obama moves to fill fed board, taps fischer to be no. 2	obama voices willingness to talk with gop on budget
		2.4	gunmen kill 15 libyan soldiers	gunmen kill 3 lebanese troops near syria
		3.2	boston marathon bombing suspect caught after manhunt	surviving boston marathon bombing suspect awaits charges
		1.6	iran, sextet to resume expert talks	iran upbeat on 'useful' expert-level nuke talks
		2.8	pregnant sudan woman who married a christian man sentenced to death for 'apostasy'	sudan frees christian woman sentenced to death for apostasy
		4.6	world's oldest man dies at 116	world's oldest ever man dies aged 116
		0.4	iran ups oil swap with eastern neighbors	iran urges rapid release of diplomat
		3.6	indian sub sinks with 18 on board	indian submarine explodes with 18 sailors on board
		3.6	boeing 787 dreamliner fire shuts heathrow	boeing 787 dreamliner catches fire at london heathrow airport
		1.8	iran fm confers with iraqi acting president	rouhani becomes new iranian president
		2.4	novice 'steered south korea ferry'	south korea ferry captain arrested
		3.8	three israeli teens missing in west bank	israeli army hunts teens missing in west bank
		4.4	us to deploy patriots, f-16s to jordan	jordan: us deploying patriots, f-16s
		3.8	another migrant ship capsizes off italy	another migrant boat capsizes off italy, 27 dead
		4.4	german parliament approves cyprus aid package	eurozone crisis live: german parliament approves cyprus bailout
		4	us issues travel alert over al qaeda threat	us issues global alert, citing qaeda threats
		1	china manufacturing index at 11-month low: hsbc	china manufacturing expands in september
		3	china yuan advances to 6.2035 against usd tuesday	china yuan slightly advances to 6.1408 against usd wednesday
		2.2	singapore shares open 0.31% higher on monday	singapore shares open lower on monday
		1	china stocks open higher monday	china stocks close lower on thursday
		3.4	everest avalanche kills six sherpas	everest avalanche kills 12 guides
		0.6	12 migrants drown off greek island, gov't calls for eu action	speech: the internet and pornography: prime minister calls for action
		1.2	pakistani taliban chief hakimullah mehsud killed in drone strike	pakistani taliban 'elect new chief', vow 'unprecedented' revenge
		5	japan defends dolphin hunt after us criticism	japan defends dolphin hunts after criticism from us
		3.8	syrian rebels target military airports	syrian troops confront fierce attacks by rebels in military airport
		3	news of terrorism and the israeli-palestinian conflict (january 22 ‚Äď 28, 2014)	news of terrorism and the israeli-palestinian conflict (july 31 ‚Äď august 6, 2013)
		2.2	desmond tutu pays final respects to mandela	south africa prepares to bury mandela
		3	china shares close higher friday	chinese shares close higher monday
		3.4	egypt policeman killed in sinai attack	egyptian soldiers killed in sinai attack
		2.6	moscow's crimea success could lead to it redrawing ukraine's eastern border	merkel: russian actions could lead to a catastrophe
		4.4	france warns of extremists benefiting from egypt violence	france fears extremists will benefit from egypt violence
		2.2	no update on nelson mandela's condition	nelson mandela's condition improves
		2.2	bursa malaysia update: 11.30am	ftse bursa malaysia update: 5.00pm
		3.4	at least 45 killed in spain train crash	update 2: 78 killed in spanish train disaster
		4	crash of malaysia airlines flight mh17 in eastern ukraine	malaysia airlines plane crashes on ukraine-russia border
		4.8	world's oldest person dies in japan at 116	jiroemon kimura: world's oldest person dies aged 116
		3.2	man held after teen shot in belfast	man, 40, arrested after shooting
		1	canada train plot suspects reject charges	canadians released in egypt, not yet heading home
		0.4	egyptian protesters issue morsi resignation ultimatum	ukraine protesters battle police in new clashes
		1.6	three dead, 63 hurt as new york buildings collapse	two dead, nine hurt in french building collapse
		4.6	n. korea's kim hails execution of powerful uncle	north korea's kim seen behind sacking of powerful uncle
		2.2	trial date set for egypt's muslim brotherhood chief	syria's muslim brotherhood faces uphill battle
		4.8	desmond tutu says he will attend mandela funeral	tutu says will attend mandela funeral
		4.6	egypt postpones dispersing pro-morsi camps	egypt postpones dispersing pro-morsi protest camps
		0.8	israel not to release palestinian prisoners	israeli authorities raze palestinian home in arraba
		5	colorado governor visits school shooting victim	colorado governor visits school shooting victim
		4.2	india and china troops retreat to de facto border in face-off deal	india says china agrees retreat to de facto border in faceoff deal
		2.2	south korea proposes talks with north	south korea says talks with north scrapped
		3.6	asian muslims celebrate eid as 14 killed in afghanistan	asian muslims celebrate eid as 52 die in pakistan, afghanistan
		2.6	mainland's taiwan affairs chief meets taipei mayor	mainland's taiwan affairs chief concludes epochmaking island visit
		2.6	japanese prime minister angers neighbours with offering to ww2 shrine	two japanese ministers visit yasukuni shrine
		2	muslim brotherhood supporter killed in clash in egypt: security sources	muslim brotherhood supporters, opponents clash nationwide
		3.2	china yuan strengthens to 6.1184 against usd tuesday	china yuan strengthens to 6.168 against usd monday
		3.4	turkish police fight protesters, clear square	turkish police clash with protesters for 2nd day
		1.2	nato chief urges restraint in egypt	iran decries extensive massacre in egypt
		2.2	chinese shares close higher tuesday	chinese shares close lower on wednesday
		2.4	us makes case for action against syria	saudi urges u.n. action against israel strikes on syria
		0.8	obama warns of new russia sanctions	ukraine threatens to seize russian assets
		3.8	world powers, iran under rouhani revive nuclear talks	world powers seek rare progress in iran nuclear talks
		0.6	27 dead, 22 injured in afghanistan coal mine collapse	one injured in methodist church building collapse
		3.2	israeli war jet strikes on northern gaza	israeli air strike on sourthern gaza town kills seven
		2.8	rock-throwers cause damage to israeli cars near bethlehem	6 injured in clashes with israeli forces near bethlehem
		5	latest storm brings more snow to us east coast	latest storm to bring more snow to east coast
		4.6	channel tragedy as fundraising swimmer dies a mile from french coast a woman who died while attempting to swim the english channel for charity collapsed just one mile from the french coast.	channel tragedy 'one mile from end' a british woman who died while attempting to swim the english channel for charity collapsed just one mile from the french coast.
		5	on war criminals and heroes: the whitewashing of ariel sharon ŔÄ	on war criminals and heroes: the whitewashing of ariel sharon
		4	gunmen kill nine foreign tourists, guide in pakistan	gunmen kill nine tourists in pakistan
		2.8	hague 'concerns over conduct' of zimbabwe election	zimbabwe: 'grave concerns' over election
		3.6	in second attack, pak taliban attack karachi airport academy	second attack at karachi airport
		4.6	floods in central europe continue to create havoc	europe floods continue to create havoc
		3.2	death toll in india building collapse hits 42	toll from india building collapse hits 25
		4.6	letter with ricin sent to senator	reid: letter with ricin or poison sent to senator
		3.8	state dept. issues wide travel alert, says terror attack possible	us issues global travel alert, cites al-qaida threat
		3.4	gm recalls about 60,000 saturns to fix gear shifts	gm recalls about 60,000 saturn aura cars
		4.4	aung san suu kyi makes presidential push	aung san suu kyi for president in 2015?
		5	rock bands' plane makes emergency landing in ill.	rock bands' plane makes emergency landing in ill.
		3	brazil in talks to hire 6,000 cuban doctors	brazil hires 4,000 cuban doctors
		3.4	hushen 300 index closes higher wednesday	hushen 300 index ends higher monday
		1.8	nigerian military claims killing of top extremist	nigerian military says no foreign operation by allies
